path,method,role,status,content_type,schema
/api/v2/admin/users/{user_id}/funds,POST,SUPER_ADMIN,422,application/json,json
/api/v2/admin/users/{user_id}/funds,POST,ADMIN,422,application/json,json
/api/v2/admin/users/{user_id}/funds,POST,USER,403,application/json,json
/api/v2/admin/users/{user_id}/funds,POST,SUPER_USER,403,application/json,json
/api/v2/admin/brokerage-plans/,GET,GUEST,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans/,GET,SUPER_ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans/,GET,ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans/,GET,USER,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans/,GET,SUPER_USER,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans/,POST,GUEST,401,application/json,json
/api/v2/admin/brokerage-plans/,POST,SUPER_ADMIN,422,application/json,json
/api/v2/admin/brokerage-plans/,POST,ADMIN,403,application/json,json
/api/v2/admin/brokerage-plans/,POST,USER,403,application/json,json
/api/v2/admin/brokerage-plans/,POST,SUPER_USER,403,application/json,json
/api/v2/admin/brokerage-plans,GET,GUEST,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans,GET,SUPER_ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans,GET,ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans,GET,USER,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans,GET,SUPER_USER,500,text/plain; charset=utf-8,non-json
/api/v2/admin/brokerage-plans,POST,GUEST,401,application/json,json
/api/v2/admin/brokerage-plans,POST,SUPER_ADMIN,422,application/json,json
/api/v2/admin/brokerage-plans,POST,ADMIN,403,application/json,json
/api/v2/admin/brokerage-plans,POST,USER,403,application/json,json
/api/v2/admin/brokerage-plans,POST,SUPER_USER,403,application/json,json
/api/v2/admin/rate-limits,GET,GUEST,200,application/json,json
/api/v2/admin/rate-limits,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/rate-limits,GET,ADMIN,200,application/json,json
/api/v2/admin/rate-limits,GET,USER,200,application/json,json
/api/v2/admin/rate-limits,GET,SUPER_USER,200,application/json,json
/api/v2/admin/subscription-lists/{list_name},GET,GUEST,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},GET,SUPER_ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},GET,ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},GET,USER,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},GET,SUPER_USER,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},POST,GUEST,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},POST,SUPER_ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},POST,ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},POST,USER,400,application/json,json
/api/v2/admin/subscription-lists/{list_name},POST,SUPER_USER,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols/,GET,GUEST,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols/,GET,SUPER_ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols/,GET,ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols/,GET,USER,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols/,GET,SUPER_USER,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols,GET,GUEST,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols,GET,SUPER_ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols,GET,ADMIN,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols,GET,USER,400,application/json,json
/api/v2/admin/subscription-lists/{list_name}/symbols,GET,SUPER_USER,400,application/json,json
/api/v2/admin/scrip-master/refresh,POST,GUEST,ERR,,ReadTimeout
/api/v2/admin/scrip-master/refresh,POST,SUPER_ADMIN,ERR,,ReadTimeout
/api/v2/admin/scrip-master/refresh,POST,ADMIN,ERR,,ReadTimeout
/api/v2/admin/scrip-master/refresh,POST,USER,ERR,,ReadTimeout
/api/v2/admin/scrip-master/refresh,POST,SUPER_USER,ERR,,ReadTimeout
/api/v2/admin/scrip-master/status,GET,GUEST,200,application/json,json
/api/v2/admin/scrip-master/status,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/scrip-master/status,GET,ADMIN,200,application/json,json
/api/v2/admin/scrip-master/status,GET,USER,200,application/json,json
/api/v2/admin/scrip-master/status,GET,SUPER_USER,200,application/json,json
/api/v2/admin/credentials/active,GET,GUEST,200,application/json,json
/api/v2/admin/credentials/active,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/credentials/active,GET,ADMIN,200,application/json,json
/api/v2/admin/credentials/active,GET,USER,200,application/json,json
/api/v2/admin/credentials/active,GET,SUPER_USER,200,application/json,json
/api/v2/admin/credentials/save,POST,GUEST,200,application/json,json
/api/v2/admin/credentials/save,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/credentials/save,POST,ADMIN,200,application/json,json
/api/v2/admin/credentials/save,POST,USER,200,application/json,json
/api/v2/admin/credentials/save,POST,SUPER_USER,200,application/json,json
/api/v2/admin/auth-mode/switch,POST,GUEST,422,application/json,json
/api/v2/admin/auth-mode/switch,POST,SUPER_ADMIN,422,application/json,json
/api/v2/admin/auth-mode/switch,POST,ADMIN,422,application/json,json
/api/v2/admin/auth-mode/switch,POST,USER,422,application/json,json
/api/v2/admin/auth-mode/switch,POST,SUPER_USER,422,application/json,json
/api/v2/admin/auth-status,GET,GUEST,200,application/json,json
/api/v2/admin/auth-status,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/auth-status,GET,ADMIN,200,application/json,json
/api/v2/admin/auth-status,GET,USER,200,application/json,json
/api/v2/admin/auth-status,GET,SUPER_USER,200,application/json,json
/api/v2/admin/auth-mode/reattempt,POST,GUEST,200,application/json,json
/api/v2/admin/auth-mode/reattempt,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/auth-mode/reattempt,POST,ADMIN,200,application/json,json
/api/v2/admin/auth-mode/reattempt,POST,USER,200,application/json,json
/api/v2/admin/auth-mode/reattempt,POST,SUPER_USER,200,application/json,json
/api/v2/admin/vps-monitor/status,GET,GUEST,401,application/json,json
/api/v2/admin/vps-monitor/status,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/vps-monitor/status,GET,ADMIN,403,application/json,json
